Country,Source 1,Source 2,,,,,,,,,,,,,,,,,,,,
Afghanistan,https://www.reuters.com/article/us-china-health-afghanistan/afghanistan-identifies-first-confirmed-coronavirus-patient-health-minister-idUSKCN20I0M0?il=0,,,,,,,,,,,,,,,,,,,,,
Albania,https://www.livemint.com/news/world/coronavirus-outbreak-albania-reports-first-two-cases-11583748391953.html,,,,,,,,,,,,,,,,,,,,,
Algeria,https://english.alaraby.co.uk/english/news/2020/2/26/algeria-confirms-first-coronavirus-case-amid-global-spike,,,,,,,,,,,,,,,,,,,,,
Andorra,https://www.reuters.com/article/health-coronavirus-andorra/a-20-year-old-man-is-andorras-first-coronavirus-case-idUSL5N2AR92V,,,,,,,,,,,,,,,,,,,,,
Angola,http://www.china.org.cn/world/Off_the_Wire/2020-03/21/content_75842926.htm,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,https://www.loopnewsbarbados.com/content/antigua-and-barbuda-records-first-case-coronavirus-4,,,,,,,,,,,,,,,,,,,,,
Argentina,https://www.thejakartapost.com/news/2020/03/04/argentina-chile-confirm-first-coronavirus-cases.html,,,,,,,,,,,,,,,,,,,,,
Armenia,http://asbarez.com/192483/first-case-of-coronavirus-confirmed-in-armenia/,,,,,,,,,,,,,,,,,,,,,
Australia,https://www.theguardian.com/science/2020/jan/25/coronavirus-five-people-in-nsw-being-tested-for-deadly-disease,,,,,,,,,,,,,,,,,,,,,
Austria,https://www.theguardian.com/world/live/2020/feb/25/coronavirus-live-updates-outbreak-latest-news-italy-italia-deaths-symptoms-china-stocks-wall-street-dow-jones-economy-falls?page=with:block-5e550afd8f086a28115b2205,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,https://www.reuters.com/article/us-china-health-azerbaijan-idUSKCN20M1IR,,,,,,,,,,,,,,,,,,,,,
Bahamas,http://www.tribune242.com/news/2020/mar/15/breaking-news-first-confirmed-case-coronavirus-bah/,,,,,,,,,,,,,,,,,,,,,
Bahrain,https://gulfnews.com/world/gulf/bahrain/bahrain-coronavirus-case-no-1-a-school-bus-driver-1.1582613552064,,,,,,,,,,,,,,,,,,,,,
Bangladesh,https://www.reuters.com/article/us-health-coronavirus-bangladesh-idUSKBN20V0FS,,,,,,,,,,,,,,,,,,,,,
Barbados,https://viconsortium.com/caribbean-coronavirus/caribbean-barbados-confirms-its-first-two-cases-of-coronavirus-,,,,,,,,,,,,,,,,,,,,,
Belarus,https://www.reuters.com/article/us-china-health-belarus-idUSKCN20M0IH,,,,,,,,,,,,,,,,,,,,,
Belgium,https://www.info-coronavirus.be/en/news/one-repatriated-belgian-has-tested-positive-for-the-novel-coronavirus/,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Belgium#February_2020_%E2%80%93_First_case,,,,,,,,,,,,,,,,,,,,
Belize,http://health.gov.bz/www/component/content/article/177-general-health/1028-ministry-of-health-announces-first-case-of-covid-19,,,,,,,,,,,,,,,,,,,,,
Benin,http://www.xinhuanet.com/english/2020-03/16/c_138884513.htm,,,,,,,,,,,,,,,,,,,,,
Bhutan,https://economictimes.indiatimes.com/news/international/world-news/bhutan-confirms-first-coronavirus-case/articleshow/74506428.cms,,,,,,,,,,,,,,,,,,,,,
Bolivia,https://www.brusselstimes.com/news-contents/world/99940/coronavirus-first-cases-in-bolivia-honduras-and-cuba/,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,http://ba.n1info.com/English/NEWS/a414110/Bosnia-confirms-its-first-case-of-Coronavirus.html,,,,,,,,,,,,,,,,,,,,,
Botswana,https://www.reuters.com/article/health-coronavirus-botswana/botswana-records-first-3-cases-of-coronavirus-health-minister-idUSL8N2BK5AO,,,,,,,,,,,,,,,,,,,,,
Brazil,https://www.aljazeera.com/news/2020/02/brazil-confirms-coronavirus-case-latin-america-200226144612605.html,,,,,,,,,,,,,,,,,,,,,
Brunei,https://thescoop.co/2020/03/09/brunei-reports-first-covid-19-case/,,,,,,,,,,,,,,,,,,,,,
Bulgaria,https://www.rferl.org/a/bulgaria-confirms-coronavirus-cases-amid-flu-outbreak/30475539.html,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,https://www.usnews.com/news/world/articles/2020-03-09/burkina-faso-confirms-first-cases-of-coronavirus,,,,,,,,,,,,,,,,,,,,,
Burundi,https://www.aa.com.tr/en/africa/burundi-confirms-first-2-covid-19-cases/1787083#!,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,http://www.xinhuanet.com/english/2020-03/20/c_138898853.htm,,,,,,,,,,,,,,,,,,,,,
Cambodia,https://www.voanews.com/science-health/coronavirus-outbreak/cambodia-confirms-first-coronavirus-case,,,,,,,,,,,,,,,,,,,,,
Cameroon,https://www.aa.com.tr/en/africa/cameroon-confirms-first-coronavirus-case/1756866,,,,,,,,,,,,,,,,,,,,,
Canada,https://www.cp24.com/news/man-who-flew-to-toronto-from-china-is-canada-s-first-coronavirus-case-1.4783476,,,,,,,,,,,,,,,,,,,,,
Central African Republic,https://www.reuters.com/article/health-coronavirus-centralafrica/central-african-republic-confirms-first-coronavirus-case-who-idUSL8N2B62KD,,,,,,,,,,,,,,,,,,,,,
Chad,https://www.reuters.com/article/us-health-coronavirus-chad/chad-confirms-first-case-of-coronavirus-government-statement-idUSKBN2162LO,,,,,,,,,,,,,,,,,,,,,
Chile,https://www.thejakartapost.com/news/2020/03/04/argentina-chile-confirm-first-coronavirus-cases.html,,,,,,,,,,,,,,,,,,,,,
China,https://www.scmp.com/news/china/society/article/3074991/coronavirus-chinas-first-confirmed-covid-19-case-traced-back,,,,,,,,,,,,,,,,,,,,,
Colombia,https://www.aa.com.tr/en/americas/colombia-confirms-first-coronavirus-case/1757557,,,,,,,,,,,,,,,,,,,,,
Comoros,https://www.africanews.com/2020/06/11/coronavirus-updates-across-africa-africanews-hub/,,,,,,,,,,,,,,,,,,,,,
Congo (Brazzaville),https://news.trust.org/item/20200314231524-ebs0t,,,,,,,,,,,,,,,,,,,,,
Congo (Kinshasa),https://nationalpost.com/pmn/health-pmn/democratic-republic-of-congo-confirms-first-coronavirus-case-2,,,,,,,,,,,,,,,,,,,,,
Costa Rica,https://www.deccanherald.com/international/us-tourist-is-costa-ricas-first-coronavirus-case-811407.html,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,https://www.dailysabah.com/world/ivory-coast-confirms-first-case-of-coronavirus/news,,,,,,,,,,,,,,,,,,,,,
Croatia,https://www.theguardian.com/world/live/2020/feb/25/coronavirus-live-updates-outbreak-latest-news-italy-italia-deaths-symptoms-china-stocks-wall-street-dow-jones-economy-falls?page=with:block-5e550afd8f086a28115b2205,,,,,,,,,,,,,,,,,,,,,
Cuba,https://www.miamiherald.com/news/nation-world/world/americas/cuba/article241115931.html,,,,,,,,,,,,,,,,,,,,,
Cyprus,https://cyprus-mail.com/2020/03/10/hospital-close-to-shutdown-after-doctor-with-virus-treated-patients-update-5/,,,,,,,,,,,,,,,,,,,,,
Czech Republic,https://www.garda.com/crisis24/news-alerts/318896/czech-republic-first-cases-of-covid-19-confirmed-march-1-update-1,,,,,,,,,,,,,,,,,,,,,
Denmark,https://www.thejakartapost.com/news/2020/02/27/denmark-announces-first-coronavirus-case.html,,,,,,,,,,,,,,,,,,,,,
Djibouti,https://news.trust.org/item/20200318111927-8x6q5/,,,,,,,,,,,,,,,,,,,,,
Dominicaa,http://www.loopjamaica.com/content/watch-dominica-records-first-case-coronavirus-3,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,https://www.reuters.com/article/us-china-health-dominican/dominican-republic-confirms-first-case-of-coronavirus-idUSKBN20O21V,,,,,,,,,,,,,,,,,,,,,
Ecuador,https://apnews.com/befbd2f7e5971da357db50473bcd8282,,,,,,,,,,,,,,,,,,,,,
Egypt,http://www.xinhuanet.com/english/2020-02/14/c_138784170.htm,,,,,,,,,,,,,,,,,,,,,
El Salvador,https://www.reuters.com/article/us-health-coronavirus-el-salvador/el-salvador-registers-first-coronavirus-infection-president-says-idUSKBN2160CF,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,https://www.deccanherald.com/international/equatorial-guinea-announces-first-coronavirus-case-813802.html,,,,,,,,,,,,,,,,,,,,,
Eritrea,https://nationalpost.com/pmn/health-pmn/angola-eritrea-uganda-confirm-first-cases-as-coronavirus-spreads-in-africa,,,,,,,,,,,,,,,,,,,,,
Estonia,https://tass.com/world/1124263,,,,,,,,,,,,,,,,,,,,,
Eswatini,https://www.jpost.com/Breaking-News/Eswatini-in-Southern-Africa-reports-first-coronavirus-case-620897,,,,,,,,,,,,,,,,,,,,,
Ethiopia,https://www.garda.com/crisis24/news-alerts/322651/ethiopia-government-confirms-first-case-of-covid-19-march-13-update-1,,,,,,,,,,,,,,,,,,,,,
Fiji,https://www.aa.com.tr/en/asia-pacific/fiji-reports-first-case-of-novel-coronavirus/1771327,,,,,,,,,,,,,,,,,,,,,
Finland,http://www.xinhuanet.com/english/2020-02/27/c_138821882.htm,,,,,,,,,,,,,,,,,,,,,
France,https://www.bbc.com/news/world-europe-52526554,,,,,,,,,,,,,,,,,,,,,
Gabon,https://nationalpost.com/pmn/health-pmn/ghana-gabon-confirm-first-cases-of-coronavirus,,,,,,,,,,,,,,,,,,,,,
Gambia,https://www.mrc.gm/confirmed-case-of-covid-19-in-the-gambia/,,,,,,,,,,,,,,,,,,,,,
Georgia,https://www.reuters.com/article/us-china-health-georgia/georgia-reports-first-coronavirus-case-in-the-country-idUSKCN20K2SY,,,,,,,,,,,,,,,,,,,,,
Germany,https://www.aljazeera.com/news/2020/01/germany-european-country-confirm-coronavirus-200128074844874.html,,,,,,,,,,,,,,,,,,,,,
Ghana,https://www.bbc.com/pidgin/tori-51867414,,,,,,,,,,,,,,,,,,,,,
Greece,https://www.reuters.com/article/us-china-health-greece-idUSKCN20K1IA,,,,,,,,,,,,,,,,,,,,,
Grenada,http://www.loopnewsbarbados.com/content/grenada-records-first-covid-19-case-4,,,,,,,,,,,,,,,,,,,,,
Guatemala,https://tass.com/world/1130133,,,,,,,,,,,,,,,,,,,,,
Guinea,https://www.aa.com.tr/en/africa/guinea-reports-first-confirmed-covid-19-case/1765526,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,https://www.reuters.com/article/us-health-coronavirus-bissau/guinea-bissau-confirms-first-two-cases-of-coronavirus-idUSKBN21C2EA,,,,,,,,,,,,,,,,,,,,,
Guyana,https://www.reuters.com/article/us-health-coronavirus-guyana-confirmed/guyana-confirms-first-case-of-coronavirus-in-woman-who-returned-from-u-s-idUSKBN20Z06B,,,,,,,,,,,,,,,,,,,,,
Haiti,https://www.voanews.com/science-health/coronavirus-outbreak/haiti-confirms-its-first-coronavirus-cases,,,,,,,,,,,,,,,,,,,,,
Honduras,https://apnews.com/d423e3e5df9c0b49821ebb651e3e4bb3,,,,,,,,,,,,,,,,,,,,,
Hungary,https://hungarytoday.hu/first-coronavirus-cases-identified-hungary/,,,,,,,,,,,,,,,,,,,,,
Iceland,https://icelandmonitor.mbl.is/news/news/2020/02/28/first_case_of_covid_19_confirmed_in_iceland/,,,,,,,,,,,,,,,,,,,,,
India,https://www.cnbc.com/2020/01/30/india-confirms-first-case-of-the-coronavirus.html,,,,,,,,,,,,,,,,,,,,,
Indonesia,https://www.theguardian.com/world/2020/mar/02/first-coronavirus-cases-confirmed-in-indonesia-amid-fears-nation-is-ill-prepared-for-outbreak,,,,,,,,,,,,,,,,,,,,,
Iran,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Iran,,,,,,,,,,,,,,,,,,,,,
Iraq,https://www.chinadaily.com.cn/a/202002/24/WS5e53adb8a310128217279e69.html,,,,,,,,,,,,,,,,,,,,,
Ireland,https://www.bbc.com/news/world-europe-51693259,,,,,,,,,,,,,,,,,,,,,
Israel,https://www.timesofisrael.com/israel-confirms-first-coronavirus-case-as-cruise-ship-returnee-diagnosed/,,,,,,,,,,,,,,,,,,,,,
Italy,https://www.axios.com/italy-coronavirus-timeline-lockdown-deaths-cases-2adb0fc7-6ab5-4b7c-9a55-bc6897494dc6.html,,,,,,,,,,,,,,,,,,,,,
Jamaica,https://www.moh.gov.jm/jamaica-confirms-first-imported-coronavirus-case/,,,,,,,,,,,,,,,,,,,,,
Japan,https://www.straitstimes.com/asia/east-asia/japan-confirms-first-case-of-infection-with-new-china-coronavirus,,,,,,,,,,,,,,,,,,,,,
Jordan,https://www.aa.com.tr/en/health/jordan-confirms-first-coronavirus-case/1752064,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,https://tbsnews.net/international/coronavirus-chronicle/kazakhstan-confirms-first-coronavirus-cases-55768,,,,,,,,,,,,,,,,,,,,,
Kenya,https://www.nation.co.ke/news/Kenya-confirms-first-coronavirus-case/1056-5489268-28tqll/index.html,,,,,,,,,,,,,,,,,,,,,
Kosovo,https://www.reuters.com/article/us-health-coronavirus-kosovo/kosovo-confirms-first-coronavirus-cases-an-italian-and-a-kosovar-idUSKBN21039A,,,,,,,,,,,,,,,,,,,,,
Kuwait,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-24-20-hnk-intl/h_0b47594f03c083b5d198001464c36635,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,https://timesofindia.indiatimes.com/world/rest-of-world/kyrgyzstan-confirms-first-coronavirus-cases/articleshow/74683924.cms,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Kyrgyzstan,,,,,,,,,,,,,,,,,,,,
Laos,https://laotiantimes.com/2020/03/24/laos-confirms-first-covid-19-cases/,,,,,,,,,,,,,,,,,,,,,
Latvia,https://eng.lsm.lv/article/society/health/first-case-of-covid-19-coronavirus-confirmed-in-latvia.a350338/,https://bnn-news.com/first-death-from-covid-19-found-in-latvia-212052,,,,,,,,,,,,,,,,,,,,
Lebanon,https://www.the961.com/first-coronavirus-in-lebanon/,,,,,,,,,,,,,,,,,,,,,
Lesotho,https://www.sabcnews.com/sabcnews/lesotho-confirms-first-coronavirus-case/,,,,,,,,,,,,,,,,,,,,,
Liberia,https://frontpageafricaonline.com/front-slider/liberia-records-first-case-of-coronavirs-health-authorities-hold-emergency-meeting/,,,,,,,,,,,,,,,,,,,,,
Libya,https://www.aljazeera.com/news/2020/03/alarm-war-torn-libya-confirms-case-coronavirus-200325093559775.html,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,https://www.garda.com/crisis24/news-alerts/320136/liechtenstein-country-confirms-first-covid-19-case-march-3,,,,,,,,,,,,,,,,,,,,,
Lithuania,https://bnn-news.com/first-coronavirus-infection-case-found-in-lithuania-210883,,,,,,,,,,,,,,,,,,,,,
Luxembourg,https://www.channelnewsasia.com/news/world/luxembourg-reports-first-covid-19-coronavirus-case-linked-italy-12487094,,,,,,,,,,,,,,,,,,,,,
Madagascar,https://africa.cgtn.com/2020/03/20/madagascar-records-first-covid-19-case/,,,,,,,,,,,,,,,,,,,,,
Malawi,https://www.nyasatimes.com/malawi-confirms-three-cases-of-coronavirus-president-mutharika-calls-for-calm/,,,,,,,,,,,,,,,,,,,,,
Malaysia,https://www.nst.com.my/news/nation/2020/01/559584/3-coronavirus-cases-malaysia-include-2-year-old-boy,,,,,,,,,,,,,,,,,,,,,
Maldives,https://economictimes.indiatimes.com/news/international/world-news/maldives-confirms-first-two-coronavirus-cases-two-resort-islands-locked-down/articleshow/74535526.cms,,,,,,,,,,,,,,,,,,,,,
Mali,http://www.xinhuanet.com/english/2020-03/25/c_138916218.htm,,,,,,,,,,,,,,,,,,,,,
Malta,https://timesofmalta.com/articles/view/first-coronavirus-case-reported-in-malta.776288,,,,,,,,,,,,,,,,,,,,,
Mauritania,https://www.channelnewsasia.com/news/world/mauritania-confirms-first-covid-19-coronavirus-case-12537688,,,,,,,,,,,,,,,,,,,,,
Mauritius,https://www.straitstimes.com/world/africa/mauritius-reports-first-three-cases-of-coronavirus,,,,,,,,,,,,,,,,,,,,,
Mexico,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Mexico,https://elfinanciero.com.mx/salud/van-3-casos-confirmados-de-coronavirus-en-mexico,,,,,,,,,,,,,,,,,,,,
Moldova,https://www.outlookindia.com/newsscroll/first-coronavirus-case-confirmed-in-moldova/1755350,,,,,,,,,,,,,,,,,,,,,
Monaco,https://forbes.mc/article/first-coronavirus-case-confirmed-in-monaco,,,,,,,,,,,,,,,,,,,,,
