Country,Source 1 ,Source 2,,,,,,,,,,,,,,,,,,,,,,,
Oman,https://timesofoman.com/article/3005417/oman/oman-registers-first-coronavirus-death/,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,https://tribune.com.pk/story/2180094/1-sindh-reports-first-coronavirus-related-death,,,,,,,,,,,,,,,,,,,,,,,,
Panama,https://www.aa.com.tr/en/americas/panama-confirms-first-death-from-coronavirus/1761571,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,https://www.reuters.com/article/us-health-coronavirus-paraguay/paraguay-confirms-first-death-due-to-coronavirus-health-ministry-idUSKBN21801Q,,,,,,,,,,,,,,,,,,,,,,,,
Peru,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/peru-reports-first-death-from-novel-coronavirus/1772594,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,https://www.bbc.com/news/world-asia-51345855,,,,,,,,,,,,,,,,,,,,,,,,
Poland,https://www.aa.com.tr/en/europe/poland-confirms-first-death-from-coronavirus/1763675,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,https://www.aa.com.tr/en/europe/portugal-reports-1st-coronavirus-death/1768310,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,https://www.reuters.com/article/us-health-coronavirus-qatar/qatar-confirms-first-coronavirus-death-idUSKBN21F0RZ,,,,,,,,,,,,,,,,,,,,,,,,
Romania,https://www.theguardian.pe.ca/news/world/romania-confirms-first-coronavirus-death-427860/,,,,,,,,,,,,,,,,,,,,,,,,
Russia,https://www.aljazeera.com/news/2020/03/russia-announces-coronavirus-death-200319084446431.html,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,https://112.international/society/coronavirus-strikes-latvia-morocco-san-marino-and-saudi-arabia-49115.html,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,https://www.aljazeera.com/news/2020/03/saudi-arabia-reports-coronavirus-death-200324135720690.html,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,https://www.africanews.com/2020/04/01/coronavirus-death-senegal-french-football-mourn-iconic-pape-diouf//,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,https://www.aa.com.tr/en/europe/serbia-confirms-first-covid-19-death-case/1773555,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Sierra_Leone,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,https://www.straitstimes.com/singapore/singapore-reports-two-covid-19-deaths-health-minister-gan,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Slovakia,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,https://www.reuters.com/article/us-health-coronavirus-slovenia/slovenia-records-first-death-due-to-coronavirus-idUSKBN2110ZO,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,https://www.aa.com.tr/en/africa/somalia-confirms-1st-coronavirus-death/1797698,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,https://www.enca.com/news/first-coronavirus-death-confirmed-in-sa,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,https://www.nbcnews.com/health/health-news/south-korea-reports-first-coronavirus-death-infections-linked-church-rise-n1139821,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,https://www.aa.com.tr/en/africa/south-sudan-registers-first-death-from-covid-19/1841304,,,,,,,,,,,,,,,,,,,,,,,,
Spain,https://tass.com/world/1126321,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Spain,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,https://www.ndtv.com/world-news/coronavirus-updates-sri-lanka-reports-first-death-due-to-coronavirus-2202522,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,https://www.aa.com.tr/en/africa/sudan-reports-first-coronavirus-case-death/1765190,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,http://www.uniindia.com/news/world/health-suriname-covid-19-death/1941368.html,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Sweden,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,https://www.swissinfo.ch/eng/covid-19_first-coronavirus-death-recorded-in-switzerland/45597610,,,,,,,,,,,,,,,,,,,,,,,,
Syria,https://www.bbc.com/news/world-middle-east-52100372,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,https://focustaiwan.tw/society/202002160012,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,https://www.aa.com.tr/en/asia-pacific/tajikistan-reports-first-deaths-from-coronavirus/1826964,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,https://www.cnbcafrica.com/news/2020/03/31/tanzania-confirms-first-coronavirus-death/,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,https://www.bangkokpost.com/thailand/general/1869104/thailand-records-first-coronavirus-death,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Togo,https://www.panapress.com/Coronavirus-Journalist-Dominique-a_630634634-lang2.html,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Trinidad_and_Tobago,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,https://www.aa.com.tr/en/africa/tunisia-confirms-first-death-from-coronavirus/1772463,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,https://www.aa.com.tr/en/health/turkey-confirms-first-death-from-coronavirus/1769849,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,https://www.aa.com.tr/en/europe/ukraine-announces-first-death-from-coronavirus/1765282,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,https://www.thenational.ae/uae/health/coronavirus-first-two-virus-deaths-announced-in-the-uae-1.995186,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,https://www.bbc.com/news/uk-51759602,,,,,,,,,,,,,,,,,,,,,,,,
Uniter States,https://thehill.com/homenews/state-watch/494682-first-known-us-coronavirus-death-caused-by-massive-cardiac-event,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,https://www.reuters.com/article/us-health-coronavirus-uruguay/bolivia-uruguay-confirm-first-coronavirus-deaths-idUSKBN21G0JW,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/uzbekistan-reports-first-coronavirus-death/1781400,,,,,,,,,,,,,,,,,,,,,,,,
Vatican City,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,https://tass.com/world/1136323,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/palestine-reports-first-death-from-coronavirus/1779550,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,https://www.aljazeera.com/news/2020/04/yemen-reports-coronavirus-deaths-multiple-cases-200430012816270.html,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,https://www.aa.com.tr/en/africa/zambia-records-first-covid-19-death-as-cases-rise/1790303,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,https://www.news24.com/SouthAfrica/News/journalist-zororo-makamba-becomes-zimbabwes-first-covid-19-death-20200323,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
